*DSSAT Cropping System Model Ver. 4.8.0.027   -release    MAR 04, 2024; 12:14:02

 Unit  Filename
  501  OPCLR
   21  FILEIO
   14  BATCH 
   25  DSPRO
  502  LUNMFW
  116  OUTINFO
  503  SIMCDE
   22  DTACDE
  504  RUNLST
   11  FILEW
   94  OUTO
   10  FILEC
   39  OUTG
   40  OUTPN
   38  OUTPC
  505  OUTS
   90  SEVAL
  120  WARNING.OUT
  506  FILECO2
   52  OUTWTH
  507  FILEF
   13  FILESS
   99  SCBAL
  508  SCBAL2
   44  SoilOrg.OUT
   55  Mulch.OUT
  109  SWBAL
   48  OUTWAT
   47  OUTT
   33  ETPhot.OUT
   32  OUTET
   54  FreshWt.OUT
    8  FILEA
