code,latitude,longitude,matched_grid,number
DH03368001,25.286,121.539,AGPC,1
DH03368002,25.292,121.534,AGPI,1
DH03368003,25.281,121.553,AGPC,2
DH03368004,25.286,121.543,AGPC,3
DH03368005,25.222,121.476,AGNU,1
DH03368006,25.217,121.451,AGNS,1
DH03368007,25.208,121.456,AGNF,1
DH03368008,25.206,121.457,AGNF,2
DH03368009,25.219,121.531,AGNW,1
DH03368010,25.214,121.61,AGNM,1
DH03368011,25.213,121.63,AGNN,1
DH03368012,25.118,121.29,AGIN,1
DH03368013,25.113,121.289,AGIN,2
DH03368014,25.129,121.383,AGJW,1
DH03368015,25.126,121.374,AGJW,2
DH03368016,25.09,121.37,AGHI,1
DH03368017,25.127,121.461,AGKA,1
DH03368018,25.046,121.135,AGCD,1
DH03368019,25.045,121.118,AGCC,1
DH03368020,25.042,121.116,AGCC,2
DH03368021,25.042,121.124,AGCD,2
DH03368022,25.04,121.127,AGCD,3
DH03368023,25.037,121.127,AGCD,4
DH03368024,25.038,121.118,AGCC,3
DH03368025,25.036,121.122,AGCD,5
DH03368026,25.034,121.118,AGCC,4
DH03368027,25.033,121.126,AGCD,6
DH03368028,25.032,121.12,AGAG,1
DH03368029,25.062,121.206,AGDZ,1
DH03368030,25.05,121.207,AGCH,1
DH03368031,25.046,121.212,AGCH,2
DH03368032,25.044,121.202,AGCG,1
DH03368033,25.045,121.208,AGCH,3
DH03368034,25.035,121.219,AGCH,4
DH03368035,25.022,121.208,AGAL,1
DH03368036,25.036,121.205,AGCH,5
DH03368037,25.037,121.211,AGCH,6
DH03368038,25.03,121.211,AGAL,2
DH03368039,25.03,121.216,AGAL,3
DH03368040,25.031,121.204,AGAL,4
DH03368041,25.045,121.284,AGCK,1
DH03368042,25.046,121.294,AGCL,1
DH03368043,25.042,121.287,AGCL,2
DH03368044,25.038,121.284,AGCK,2
DH03368045,25.034,121.284,AGCK,3
DH03368046,25.032,121.29,AGCL,3
DH03368047,25.044,121.385,AGCP,1
